w,day1,day2,day3,day4,day5,day6
3623.67683,0.06159,0.09755,0.10143,0.12253,0.1132,0.09368
3621.74831,0.0629,0.09908,0.10285,0.12395,0.11481,0.09532
3619.8198,0.06431,0.10058,0.10431,0.12544,0.11636,0.09697
3617.89129,0.06578,0.10211,0.10584,0.12696,0.11785,0.09847
3615.96277,0.06726,0.10366,0.10738,0.12841,0.11928,0.0999
3614.03426,0.06876,0.10516,0.10882,0.12983,0.12071,0.10139
3612.10575,0.07023,0.1066,0.11019,0.13131,0.12219,0.10291
3610.17723,0.07159,0.10804,0.11159,0.13275,0.12373,0.10441
3608.24872,0.07289,0.10951,0.11304,0.13412,0.12527,0.10595
3606.32021,0.07423,0.111,0.11447,0.13542,0.12679,0.1075
3604.39169,0.07565,0.11254,0.11587,0.13674,0.12833,0.10895
3602.46318,0.07709,0.11412,0.11725,0.13819,0.12993,0.11042
3600.53467,0.07852,0.1157,0.11868,0.13965,0.13155,0.11197
3598.60615,0.07989,0.11725,0.12017,0.14097,0.1331,0.11354
3596.67764,0.08121,0.11877,0.12167,0.14228,0.13465,0.11507
3594.74913,0.08255,0.12026,0.12318,0.14376,0.13625,0.11657
3592.82061,0.08404,0.12178,0.12472,0.14531,0.1378,0.11812
3590.8921,0.08566,0.12333,0.12626,0.14679,0.13927,0.11977
3588.96359,0.08731,0.12491,0.12784,0.14829,0.14086,0.12142
3587.03507,0.08887,0.12651,0.12944,0.14989,0.14261,0.12301
3585.10656,0.09039,0.12814,0.13101,0.15152,0.1443,0.12459
3583.17804,0.09194,0.12981,0.13258,0.15305,0.14585,0.12622
3581.24953,0.09346,0.13144,0.13419,0.15446,0.14744,0.12788
3579.32102,0.09497,0.13302,0.13583,0.15584,0.14912,0.12954
3577.3925,0.09654,0.1347,0.13748,0.15729,0.15078,0.13121
3575.46399,0.09823,0.13651,0.13915,0.15885,0.15249,0.13291
3573.53548,0.09997,0.13823,0.14073,0.16049,0.15428,0.13462
3571.60696,0.10166,0.1398,0.14224,0.16213,0.15607,0.13627
3569.67845,0.1033,0.14144,0.14383,0.16379,0.15787,0.13792
3567.74994,0.10493,0.14326,0.14555,0.16538,0.15974,0.13969
3565.82142,0.10655,0.14511,0.14726,0.16693,0.16159,0.14153
3563.89291,0.10816,0.14693,0.14893,0.16857,0.16331,0.14335
3561.9644,0.10989,0.14882,0.15074,0.17031,0.16501,0.14516
3560.03588,0.11169,0.15076,0.15267,0.17201,0.16684,0.147
3558.10737,0.1134,0.15259,0.15446,0.17365,0.16874,0.14881
3556.17886,0.11499,0.15425,0.15612,0.17532,0.17062,0.15057
3554.25034,0.11665,0.15588,0.15781,0.17702,0.17252,0.15235
3552.32183,0.11838,0.15759,0.15946,0.17869,0.17442,0.15416
3550.39332,0.12006,0.15944,0.16104,0.18032,0.17627,0.15602
3548.4648,0.12173,0.1614,0.16275,0.18206,0.1781,0.15797
3546.53629,0.12343,0.16334,0.16464,0.18391,0.18,0.15994
3544.60778,0.12517,0.16517,0.16658,0.18569,0.18196,0.16183
3542.67926,0.12698,0.16696,0.16849,0.18736,0.18389,0.16374
3540.75075,0.12886,0.16878,0.17032,0.18904,0.18579,0.16573
3538.82223,0.13071,0.17069,0.17211,0.19081,0.18775,0.16776
3536.89372,0.13247,0.17261,0.17391,0.19261,0.18982,0.16974
3534.96521,0.13424,0.17455,0.17571,0.19437,0.19186,0.17162
3533.03669,0.13608,0.17656,0.17748,0.19611,0.19379,0.17349
3531.10818,0.13795,0.17858,0.17923,0.19786,0.19566,0.17541
3529.17967,0.13977,0.18052,0.18105,0.19955,0.1976,0.17737
3527.25115,0.14155,0.18239,0.18292,0.20119,0.19962,0.17934
3525.32264,0.14334,0.18429,0.18479,0.20285,0.20171,0.18129
3523.39413,0.14519,0.18633,0.18665,0.20461,0.20377,0.18326
3521.46561,0.14705,0.18835,0.18844,0.20647,0.20574,0.18522
3519.5371,0.14879,0.1902,0.1902,0.20835,0.20761,0.18714
3517.60859,0.15044,0.19198,0.19205,0.21022,0.20954,0.18913
3515.68007,0.15215,0.19389,0.194,0.212,0.21155,0.19125
3513.75156,0.15399,0.19587,0.19591,0.21374,0.21357,0.19335
3511.82305,0.15583,0.19778,0.19773,0.21547,0.21565,0.19531
3509.89453,0.15758,0.19962,0.19947,0.21715,0.21777,0.19717
3507.96602,0.15934,0.20155,0.2012,0.21881,0.21978,0.19903
3506.03751,0.16122,0.2036,0.20297,0.22056,0.22169,0.20096
3504.10899,0.16313,0.20565,0.20478,0.22243,0.22367,0.20296
3502.18048,0.16497,0.20767,0.20661,0.2243,0.22571,0.205
3500.25197,0.16676,0.20965,0.20843,0.2261,0.22764,0.20698
3498.32345,0.16857,0.21152,0.21025,0.22789,0.22952,0.20894
3496.39494,0.17043,0.21338,0.21207,0.22972,0.2315,0.21099
3494.46642,0.17227,0.2153,0.2139,0.23151,0.23357,0.21307
3492.53791,0.17403,0.2173,0.21573,0.2332,0.23565,0.21506
3490.6094,0.17576,0.21927,0.2175,0.23486,0.23769,0.21702
3488.68088,0.17756,0.22123,0.21923,0.23657,0.23965,0.21905
3486.75237,0.17942,0.22328,0.22096,0.2384,0.24159,0.22115
3484.82386,0.18122,0.22537,0.22271,0.24033,0.24359,0.22319
3482.89534,0.18292,0.22732,0.22451,0.24221,0.24567,0.22506
3480.96683,0.18458,0.22916,0.22641,0.24396,0.24777,0.22689
3479.03832,0.18628,0.23103,0.22829,0.24566,0.2499,0.22879
3477.1098,0.18808,0.23297,0.23007,0.24739,0.25205,0.23076
3475.18129,0.18998,0.23494,0.23183,0.24915,0.25412,0.23278
3473.25278,0.19195,0.23694,0.23363,0.25095,0.25615,0.23488
3471.32426,0.19388,0.239,0.23546,0.25279,0.25821,0.23704
3469.39575,0.19567,0.24107,0.23727,0.25462,0.26025,0.2391
3467.46724,0.19739,0.24307,0.23906,0.2564,0.26228,0.24107
3465.53872,0.19915,0.24505,0.24089,0.25814,0.2644,0.24311
3463.61021,0.20098,0.24704,0.24274,0.25989,0.26662,0.2452
3461.6817,0.20277,0.24909,0.24455,0.26163,0.26878,0.24724
3459.75318,0.20446,0.25116,0.24631,0.26343,0.27085,0.24926
3457.82467,0.20618,0.25316,0.24804,0.26524,0.27288,0.25126
3455.89616,0.20794,0.25505,0.24974,0.26702,0.27491,0.25326
3453.96764,0.20965,0.25692,0.25145,0.26877,0.27694,0.25531
3452.03913,0.21129,0.25888,0.25317,0.27052,0.27897,0.25736
3450.11061,0.21303,0.26094,0.25485,0.27232,0.28101,0.25935
3448.1821,0.21488,0.26304,0.25654,0.2741,0.28305,0.26142
3446.25359,0.21667,0.2651,0.25839,0.27583,0.28513,0.26357
3444.32507,0.2184,0.26708,0.26033,0.27757,0.28722,0.26563
3442.39656,0.22017,0.26898,0.2621,0.27931,0.28925,0.26752
3440.46805,0.22192,0.27084,0.26368,0.28102,0.29128,0.26939
3438.53953,0.22362,0.27278,0.26525,0.28269,0.29337,0.27143
3436.61102,0.22533,0.27482,0.26693,0.28427,0.29549,0.2736
3434.68251,0.22708,0.27682,0.26865,0.28581,0.29758,0.27567
3432.75399,0.22883,0.27871,0.27032,0.28748,0.29962,0.27763
3430.82548,0.2305,0.28062,0.27198,0.2893,0.30163,0.27955
3428.89697,0.23211,0.28256,0.27361,0.29116,0.30362,0.28147
3426.96845,0.23372,0.28448,0.27521,0.29299,0.30559,0.28337
3425.03994,0.23538,0.28644,0.27684,0.29481,0.30755,0.28532
3423.11143,0.23703,0.28845,0.27853,0.29654,0.30954,0.28731
3421.18291,0.23858,0.2904,0.28016,0.29814,0.31157,0.28928
3419.2544,0.24006,0.29222,0.28165,0.29963,0.31352,0.29116
3417.32589,0.24153,0.29395,0.28309,0.3011,0.31538,0.29295
3415.39737,0.24303,0.29562,0.28456,0.30254,0.31721,0.29476
3413.46886,0.24452,0.29727,0.28598,0.30399,0.31903,0.29667
3411.54035,0.24599,0.29898,0.28736,0.30549,0.32086,0.29865
3409.61183,0.24745,0.3008,0.28877,0.30699,0.32268,0.30059
3407.68332,0.24882,0.30259,0.29007,0.30844,0.32448,0.3023
3405.7548,0.25002,0.3042,0.29119,0.30988,0.32634,0.30373
3403.82629,0.25114,0.30572,0.29233,0.31128,0.32822,0.30514
3401.89778,0.25223,0.30723,0.29361,0.31262,0.32993,0.30672
3399.96926,0.25345,0.30875,0.29492,0.31393,0.33146,0.30838
3398.04075,0.2547,0.31025,0.29609,0.31525,0.33289,0.30996
3396.11224,0.25576,0.31163,0.29711,0.31645,0.33426,0.31141
3394.18372,0.25682,0.31296,0.29813,0.31753,0.33573,0.31283
3392.25521,0.25799,0.31441,0.29913,0.3185,0.33723,0.31423
3390.3267,0.25914,0.3159,0.30008,0.31949,0.33868,0.31556
3388.39818,0.26014,0.31722,0.301,0.32056,0.34005,0.31687
3386.46967,0.26106,0.31834,0.30191,0.32162,0.34129,0.31818
3384.54116,0.26194,0.31945,0.30279,0.32259,0.34242,0.31944
3382.61264,0.26266,0.3206,0.3036,0.32348,0.34351,0.3206
3380.68413,0.26324,0.32166,0.30426,0.32435,0.34459,0.32161
3378.75562,0.26384,0.32259,0.30479,0.32529,0.34564,0.32252
3376.8271,0.26461,0.3235,0.30538,0.3262,0.34666,0.32344
3374.89859,0.26548,0.32441,0.30602,0.32692,0.3477,0.32437
3372.97008,0.26624,0.32523,0.30658,0.32754,0.34873,0.32527
3371.04156,0.26681,0.32605,0.30707,0.32827,0.34969,0.32615
3369.11305,0.26732,0.32696,0.30759,0.32905,0.35049,0.32709
3367.18453,0.26783,0.32788,0.30814,0.32963,0.35112,0.32808
3365.25602,0.26832,0.32873,0.30863,0.33001,0.35176,0.32892
3363.32751,0.26879,0.32951,0.30902,0.33042,0.35258,0.32955
3361.39899,0.26925,0.33019,0.30939,0.33086,0.35346,0.33021
3359.47048,0.26961,0.33077,0.30973,0.33134,0.35418,0.33093
3357.54197,0.26986,0.33125,0.30997,0.33187,0.35472,0.33153
3355.61345,0.2701,0.33163,0.31017,0.33229,0.35518,0.332
3353.68494,0.27037,0.33197,0.31041,0.33252,0.3557,0.33246
3351.75643,0.2706,0.33239,0.3107,0.33271,0.3562,0.33286
3349.82791,0.27069,0.33288,0.31089,0.33297,0.35659,0.33316
3347.8994,0.27068,0.33331,0.31089,0.33323,0.35693,0.33338
3345.97089,0.2708,0.33362,0.31079,0.33349,0.35728,0.33369
3344.04237,0.27109,0.33392,0.31074,0.33381,0.35761,0.33414
3342.11386,0.27131,0.33421,0.31078,0.33406,0.35788,0.33448
3340.18535,0.27131,0.33448,0.31085,0.33416,0.3581,0.33462
3338.25683,0.27123,0.33469,0.31084,0.33423,0.35836,0.3347
3336.32832,0.2712,0.33478,0.3107,0.3344,0.35868,0.33485
3334.39981,0.27125,0.33484,0.3105,0.33459,0.359,0.33502
3332.47129,0.27143,0.33506,0.31039,0.33465,0.35918,0.33518
3330.54278,0.27168,0.33537,0.31037,0.33457,0.35919,0.33533
3328.61427,0.27183,0.33555,0.31035,0.33451,0.35917,0.3355
3326.68575,0.27191,0.33564,0.31032,0.33451,0.35931,0.33564
3324.75724,0.27198,0.33577,0.31032,0.33452,0.35955,0.33579
3322.82872,0.27197,0.33584,0.3102,0.33458,0.35974,0.33594
3320.90021,0.2719,0.33585,0.30989,0.3347,0.35985,0.33604
3318.9717,0.27185,0.33591,0.30963,0.33479,0.36,0.33608
3317.04318,0.27181,0.33599,0.30958,0.33485,0.36013,0.33607
3315.11467,0.27173,0.336,0.30958,0.33488,0.36008,0.33608
3313.18616,0.27169,0.33599,0.30948,0.33486,0.35993,0.33613
3311.25764,0.27174,0.33606,0.30932,0.33478,0.35992,0.33623
3309.32913,0.27186,0.33622,0.30918,0.33466,0.36002,0.33636
3307.40062,0.27201,0.33635,0.30906,0.33458,0.36,0.33648
3305.4721,0.27209,0.3364,0.30897,0.33453,0.3599,0.3365
3303.54359,0.27202,0.33642,0.30882,0.33449,0.35989,0.33632
3301.61508,0.27193,0.33644,0.30857,0.33445,0.35999,0.33611
3299.68656,0.27191,0.33645,0.30832,0.33443,0.36014,0.33612
3297.75805,0.27196,0.33651,0.30816,0.3344,0.36024,0.33624
3295.82954,0.27209,0.33664,0.30807,0.33436,0.36028,0.33632
3293.90102,0.27223,0.33668,0.308,0.33427,0.36029,0.33635
3291.97251,0.27225,0.33658,0.30797,0.33419,0.36036,0.33637
3290.044,0.27218,0.33651,0.30789,0.33415,0.3605,0.33642
3288.11548,0.27211,0.33653,0.30773,0.3341,0.3606,0.33649
3286.18697,0.27206,0.33658,0.30759,0.33405,0.36062,0.3365
3284.25846,0.27199,0.33658,0.30748,0.33406,0.36062,0.33643
3282.32994,0.27196,0.33655,0.30731,0.33406,0.36063,0.33633
3280.40143,0.27194,0.33653,0.30711,0.33398,0.36058,0.33623
3278.47291,0.2719,0.33654,0.30694,0.33389,0.3604,0.33624
3276.5444,0.2717,0.33647,0.30663,0.3338,0.36016,0.33628
3274.61589,0.27134,0.33628,0.30615,0.33371,0.36004,0.33618
3272.68737,0.27102,0.3362,0.30578,0.33363,0.36005,0.33601
3270.75886,0.27082,0.33629,0.30566,0.33343,0.36007,0.33589
3268.83035,0.27064,0.33627,0.3055,0.33312,0.36009,0.33575
3266.90183,0.27036,0.33602,0.30508,0.33286,0.36009,0.3355
3264.97332,0.26998,0.33571,0.30458,0.3327,0.36005,0.33524
3263.04481,0.26956,0.33546,0.30423,0.33253,0.35995,0.33505
3261.11629,0.26921,0.33526,0.30397,0.33229,0.35972,0.3349
3259.18778,0.26887,0.33504,0.30358,0.332,0.35937,0.33467
3257.25927,0.26842,0.3348,0.30309,0.33169,0.35909,0.33439
3255.33075,0.26783,0.33456,0.30264,0.33136,0.35889,0.33414
3253.40224,0.26718,0.33437,0.30217,0.33097,0.35858,0.33387
