wavelength,day1,day2,day3,day4,day5,day6
1959,4.371303082,4.134906292,4.015755653,3.94571209,3.932384014,4.390799522
1958,4.571452141,4.221226692,4.068137169,4.071291924,4.098073959,4.507865429
1957,4.462967396,4.244668007,4.173900127,4.130667686,3.948946714,4.558276176
1956,4.321831703,4.062365532,4.154481888,3.991918564,4.121337414,4.498388767
1955,4.658616543,4.265828609,4.250910282,4.15759182,4.139772415,4.618704319
1954,4.564070225,4.157396317,3.843650341,4.038176537,4.065013885,4.517389297
1953,4.44527626,4.107235432,4.001015663,3.948444605,4.092772961,4.472237587
1952,4.381938457,4.108482838,3.910260677,3.955652237,3.938787699,4.397809029
1951,4.249710083,3.949701309,3.841815948,4.010432243,3.843515635,4.550229549
1950,4.389108181,3.757239103,3.809669256,3.89582634,3.875831127,4.395823002
1949,4.356306076,4.094707012,4.108913898,3.980746746,3.97403574,4.293279171
1948,4.576241016,4.097117901,3.977042913,4.068409443,4.075849533,4.407371044
1947,4.301753044,4.147202015,3.931933641,3.87551713,3.793503046,4.250226974
1946,4.382348061,4.181102753,3.942527294,4.037330151,4.066139698,4.47513628
1945,4.403682709,4.160457611,3.978549242,3.991105795,4.043888092,4.428022861
1944,4.427398205,3.946524858,3.942180395,3.918823957,3.801346302,4.403282642
1943,4.529193401,4.146018505,4.074414253,4.002011776,4.021042824,4.567775726
1942,4.367980957,4.277966022,4.196951389,4.086196899,4.065432072,4.480167389
1941,4.365107536,4.035919189,3.959400654,4.030570984,3.941178322,4.459068298
1940,4.321254253,4.09752512,3.883648396,3.937739849,3.892820358,4.427204132
1939,4.190369129,4.061944962,3.911132813,3.938229322,3.959661007,4.316507816
1938,4.281099319,4.006425858,4.008258343,3.812458038,3.957011223,4.285125256
1937,4.337243557,4.090880871,3.976470232,3.972820282,4.045536518,4.252733231
1936,4.434564114,4.133176327,3.932170868,4.124595165,4.07672739,4.445496082
1935,4.178783894,4.014949322,3.877961159,3.802016735,3.675687313,4.222101688
1934,4.319579601,4.014634609,4.101783276,3.798496246,3.919880867,4.431410789
1933,4.139887333,3.887032747,3.836051464,3.803416252,3.882621527,4.381738663
1932,4.185953617,3.842941761,3.81530118,3.984243155,3.829170465,4.354036331
1931,4.342940331,4.011868954,3.972045422,3.900004864,4.054625511,4.374492645
1930,4.309549332,3.827068329,3.873041153,3.812148809,3.866935253,4.248483181
1929,4.241301537,3.885238647,3.78255558,3.906218767,3.989207029,4.408513069
1928,4.441277027,4.163380146,4.026747704,4.055655479,4.123074532,4.451522827
1927,4.561704636,4.087189674,4.053639889,4.017023563,4.208855629,4.487818718
1926,4.394445419,4.164614201,3.947530985,3.964802265,3.893026829,4.416042805
1925,4.255767345,4.057460785,4.014734745,3.86284256,4.025853634,4.306128979
1924,4.396010399,4.0883255,4.00220108,4.058627605,3.880959034,4.272049904
1923,4.440600395,4.175887108,3.959240437,3.994903803,4.03512764,4.357813358
1922,4.212795734,3.909385204,3.810934305,3.891780138,3.807341337,4.268606186
1921,4.349942684,4.302420139,3.97850728,3.932601929,4.069936752,4.551673412
1920,4.478281975,4.203509808,4.034205437,4.130023003,4.022164822,4.56837225
