Test time_s,Standard travel_mm,Standard force_N
58.188,5.0353524,0.3767456
58.32,5.035432,0.3866572
58.452,5.0355516,0.3763468
58.572,5.0356912,0.3810262
58.704,5.0357708,0.3885794
58.836,5.0358506,0.3834728
58.968,5.0359104,0.3878098
59.088,5.03601,0.3930076
59.22,5.0362092,0.3840758
59.352,5.036249,0.3864092
59.472,5.0363288,0.394248
59.604,5.0364682,0.3772512
59.736,5.036568,0.3907086
59.868,5.0366874,0.3818584
59.988,5.0367472,0.3774334
60.12,5.036847,0.3966664
60.252,5.0369864,0.3870938
60.372,5.037086,0.3919146
60.504,5.0371658,0.3945244
60.636,5.0372854,0.3879324
60.768,5.037385,0.388818
60.888,5.0374448,0.3901842
61.02,5.0375444,0.3887928
61.152,5.0376838,0.3944648
61.272,5.0378632,0.3903726
61.404,5.037903,0.3830488
61.536,5.037923,0.396211
61.668,5.0380226,0.3919398
61.788,5.0381422,0.3926526
61.92,5.0383016,0.3990438
62.052,5.0383614,0.3849236
62.172,5.0384412,0.3823328
62.304,5.0385408,0.3919084
62.436,5.0386404,0.3886956
62.568,5.03874,0.40042
62.688,5.0388396,0.3991726
62.82,5.0389394,0.3919838
62.952,5.039019,0.40957
63.072,5.0391186,0.411242
63.204,5.039278,0.3910792
63.336,5.0393778,0.406546
63.468,5.0394176,0.3833126
63.588,5.0395172,0.3820376
63.72,5.039597,0.3964182
63.852,5.0397962,0.3884976
63.972,5.039856,0.3882746
64.104,5.0399158,0.410774
64.236,5.0400552,0.3955232
64.368,5.0401548,0.40795
64.488,5.0402546,0.406044
64.62,5.0403542,0.394826
64.752,5.0404538,0.41435
64.872,5.0405534,0.405202
65.004,5.040653,0.3963742
65.136,5.0407328,0.406556
65.268,5.0408324,0.401038
65.388,5.040972,0.3963522
65.52,5.0410516,0.413678
65.652,5.0411314,0.404408
65.772,5.041211,0.3990564
65.904,5.0413506,0.41348
66.036,5.0414702,0.3973572
66.168,5.0415498,0.401792
66.288,5.0416096,0.413468
66.42,5.041749,0.3904292
66.552,5.0418488,0.411936
66.672,5.0419284,0.40133
66.804,5.042028,0.3962644
66.936,5.0421278,0.430948
67.068,5.0422274,0.41072
67.188,5.0423668,0.412194
67.32,5.0424664,0.41561
67.452,5.0425462,0.3977372
67.572,5.042626,0.411362
67.704,5.0427256,0.41778
67.836,5.0428252,0.401588
67.968,5.0429448,0.40654
68.088,5.0430046,0.413478
68.22,5.043124,0.403748
68.352,5.0432038,0.414906
68.472,5.0433234,0.420202
68.604,5.043443,0.411546
68.736,5.0435426,0.418918
68.868,5.0436222,0.411778
68.988,5.0437418,0.410548
69.12,5.0438414,0.418648
69.252,5.043961,0.407222
69.372,5.0440408,0.411624
69.504,5.0441404,0.418842
69.636,5.04426,0.41437
69.768,5.0443396,0.42377
69.888,5.0444394,0.429998
70.02,5.044519,0.411056
70.152,5.0446386,0.421834
70.272,5.0447382,0.42131
70.404,5.0448378,0.405724
70.536,5.0449574,0.432444
70.668,5.0450372,0.429808
70.788,5.0451368,0.41392
70.92,5.0452564,0.435132
71.052,5.045336,0.422802
71.172,5.0454356,0.41916
71.304,5.0455354,0.436056
71.436,5.045655,0.418962
71.568,5.0457744,0.423524
71.688,5.0458144,0.431436
71.82,5.0459338,0.421016
71.952,5.0460336,0.432572
72.072,5.046153,0.432206
72.204,5.0462328,0.424106
72.336,5.0463126,0.428122
72.468,5.0464122,0.426986
72.588,5.0465516,0.421932
72.72,5.0466314,0.427996
72.852,5.046731,0.425974
72.972,5.0468108,0.423358
73.104,5.0468704,0.433804
73.236,5.04701,0.430054
73.368,5.0471694,0.440932
73.488,5.0472292,0.434808
73.62,5.0473288,0.433186
73.752,5.0474284,0.434896
73.872,5.047548,0.444874
