Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2021-11-11,2021-11-12,2763,CENTURY THEATRES 466,Entertainment,4.90,
2021-11-09,2021-11-10,2763,TARGET        00012088,Merchandise,13.39,
2021-11-09,2021-11-09,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,522.85
2021-11-06,2021-11-08,1975,THE AVENUE BAR,Dining,23.00,
2021-11-05,2021-11-08,1975,DAOL TOFU,Dining,164.05,
2021-11-07,2021-11-08,1975,TARGET        00012088,Merchandise,56.13,
2021-11-07,2021-11-08,1975,SQ *LEDESMA FARMS,Other Services,5.00,
2021-11-07,2021-11-08,1975,SQ *RJ PRODUCE,Merchandise,4.50,
2021-11-06,2021-11-08,2763,THE AVENUE BAR,Dining,16.00,
2021-11-06,2021-11-08,1975,SAMSCLUB #6612,Merchandise,125.03,
2021-11-06,2021-11-08,1975,TST* ARTICHOKE BASILLE,Dining,18.00,
2021-11-05,2021-11-06,1975,CHEVRON 0205756,Gas/Automotive,56.20,
2021-11-03,2021-11-03,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,330.25
2021-11-01,2021-11-03,2763,SAFEWAY #0917,Merchandise,54.94,
2021-10-31,2021-11-02,1975,JULIAN BREWERY & BBQ,Dining,30.18,
2021-10-31,2021-11-01,2763,MINER'S DINER,Dining,41.21,
2021-10-30,2021-11-01,2763,DESERT PANTRY,Merchandise,15.60,
2021-10-29,2021-10-30,2763,STATERBROS163,Merchandise,32.80,
2021-10-30,2021-10-30,2763,COMCAST CALIFORNIA,Phone/Cable,70.23,
2021-10-28,2021-10-29,2763,CVS/PHARMACY #09545,Health Care,52.18,
2021-10-28,2021-10-29,2763,CHEVRON 0095595,Gas/Automotive,63.28,
2021-10-26,2021-10-28,2763,SAFEWAY #0917,Merchandise,24.77,
2021-10-26,2021-10-26,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,480.89
2021-10-24,2021-10-25,1975,TST* ALVARADO STREET B,Dining,44.40,
2021-10-23,2021-10-25,1975,SAFEWAY #2669,Merchandise,32.73,
2021-10-24,2021-10-25,2763,GARLIC WORLD INC,Merchandise,10.98,
2021-10-23,2021-10-25,2763,LINKS CLUB,Dining,46.53,
2021-10-22,2021-10-25,2763,CITY OF WALNUT CREEK,Gas/Automotive,0.50,
2021-10-24,2021-10-25,2763,MULLIGAN PUBLIC HOUSE,Dining,21.52,
2021-10-24,2021-10-25,2763,MULLIGAN PUBLIC HOUSE,Dining,20.97,
2021-10-23,2021-10-25,2763,PORTABELLA,Dining,133.64,
2021-10-22,2021-10-25,1975,SAFEWAY #0917,Merchandise,33.68,
2021-10-22,2021-10-22,2763,SQ *CAPULLO,Dining,135.94,
2021-10-19,2021-10-19,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,462.07
2021-10-17,2021-10-18,1975,KAISER PHARM 511,Health Care,5.00,
2021-10-17,2021-10-18,1975,JIRU INC,Dining,38.42,
2021-10-17,2021-10-18,1975,TRADER JOE'S #123  QPS,Merchandise,17.34,
2021-10-17,2021-10-18,2763,ANDOIL,Gas/Automotive,47.22,
2021-10-16,2021-10-18,2763,RIVER RANCH LODGE & RE,Dining,29.00,
2021-10-16,2021-10-18,2763,SHELL OIL 574432236QPS,Gas/Automotive,54.78,
2021-10-16,2021-10-18,1975,SQ *IAN CASEY FOUNDATI,Other Services,50.00,
2021-10-16,2021-10-18,1975,SQ *COFFEEBAR TRUCKEE,Dining,13.17,
2021-10-16,2021-10-18,2763,KINGS BEACH SRA,Other Services,5.00,
2021-10-15,2021-10-16,2763,TARGET        00012088,Merchandise,19.21,
2021-10-14,2021-10-16,1975,TWISTED TIMES RESTAURA,Dining,36.44,
2021-10-11,2021-10-13,1975,FOODMAXX #480 BRENTW,Merchandise,63.98,
2021-10-10,2021-10-12,1975,SEAFOOD CITY SUPERMA,Merchandise,12.34,
2021-10-10,2021-10-11,2763,EL TAPATIO RESTAURANT,Dining,25.01,
2021-10-11,2021-10-11,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,322.65
2021-10-09,2021-10-11,2763,SAFEWAY #1711,Merchandise,45.16,
2021-10-08,2021-10-09,1975,TRADER JOE'S #123  QPS,Merchandise,25.51,
2021-10-03,2021-10-04,1975,TARGET        00012088,Merchandise,18.81,
2021-10-02,2021-10-04,2763,MR LUCKYS,Dining,18.00,
2021-10-03,2021-10-04,2763,TST* LA CASA RESTAURAN,Dining,55.56,
2021-10-02,2021-10-04,2763,TARGET        00012088,Merchandise,27.49,
2021-10-02,2021-10-02,1975,CENTURY THEATRES 466,Entertainment,28.00,
2021-10-01,2021-10-02,2763,PINKYS PIZZA PARLOR OF,Dining,29.95,
2021-10-02,2021-10-02,2763,CENTURY THEATRES 466,Entertainment,4.90,
2021-10-01,2021-10-02,1975,CHEVRON 0303837,Gas/Automotive,44.20,
2021-09-30,2021-09-30,2763,COMCAST CALIFORNIA,Phone/Cable,70.23,
2021-09-29,2021-09-29,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,559.64
2021-09-26,2021-09-27,2763,TARGET        00012088,Merchandise,7.98,
2021-09-25,2021-09-27,1975,BRASS RING AMUSEMENTS,Entertainment,32.00,
2021-09-25,2021-09-27,1975,SAMSCLUB #6612,Merchandise,87.76,
2021-09-25,2021-09-27,1975,SAMS CLUB #6612,Merchandise,6.25,
2021-09-26,2021-09-27,1975,SQ *DOMINO'S PIZZA,Dining,6.00,
2021-09-26,2021-09-27,1975,SQ *BEER BOOTH,Merchandise,16.10,
2021-09-25,2021-09-27,1975,SQ *BEER BOOTH,Merchandise,9.00,
2021-09-25,2021-09-27,1975,SQ *BEER BOOTH,Merchandise,7.00,
2021-09-25,2021-09-27,2763,ANDOIL,Gas/Automotive,54.17,
2021-09-25,2021-09-27,2763,SQ *WALNUT FESTIVAL AS,Other Services,22.00,
2021-09-25,2021-09-27,2763,TST* TIKI TOM S,Dining,71.81,
2021-09-25,2021-09-27,2763,TST* BIERHAUS - WALNUT,Dining,57.93,
2021-09-23,2021-09-25,2763,SAFEWAY #0917,Merchandise,37.19,
2021-09-20,2021-09-22,2763,SAFEWAY #0917,Merchandise,42.91,
2021-09-19,2021-09-20,1975,CPK T-2 EAST SAN,Dining,17.23,
2021-09-19,2021-09-20,2763,BLUE WATER SEAFOOD MAR,Dining,41.48,
2021-09-17,2021-09-18,2763,CHIPOTLE 2434,Dining,8.54,
2021-09-14,2021-09-16,1975,SAFEWAY #0917,Merchandise,34.29,
2021-09-14,2021-09-14,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,409.13
2021-09-11,2021-09-13,2763,SQ *LAUGHING MONK,Dining,9.60,
2021-09-09,2021-09-10,2763,ANDOIL,Gas/Automotive,51.14,
2021-09-07,2021-09-08,2763,TARGET        00012088,Merchandise,11.47,
2021-09-06,2021-09-08,2763,SEAFOOD CITY SUPERMA,Merchandise,7.75,
2021-09-05,2021-09-07,2763,CANTON DIM SUM & SEAFO,Dining,42.99,
2021-09-05,2021-09-06,2763,ANDOIL,Gas/Automotive,25.00,
2021-09-04,2021-09-06,1975,TARGET        00012088,Merchandise,115.89,
2021-09-03,2021-09-06,2763,Montecatini Ristorante,Dining,95.04,
2021-09-03,2021-09-06,2763,MR LUCKYS,Dining,33.00,
2021-09-03,2021-09-06,2763,THE STADIUM PUB,Dining,17.25,
2021-09-02,2021-09-02,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,496.09
2021-08-31,2021-09-01,2763,ANDOIL,Gas/Automotive,48.29,
2021-08-29,2021-08-31,2763,CREPES ON THE ROW CAFE,Dining,28.77,
2021-08-29,2021-08-31,2763,PARKING METERS (POM),Gas/Automotive,7.75,
2021-08-29,2021-08-30,2763,PHILS FISH MKT & EAT,Dining,38.68,
2021-08-28,2021-08-30,1975,BRITANNIA ARMS OF MONT,Dining,18.59,
2021-08-28,2021-08-30,2763,CIBOS ITALIAN RESTAURA,Dining,18.46,
